support,itemsets
0.014447884416924664,frozenset({'10 COLOUR SPACEBOY PEN'})
0.012748133309051175,frozenset({'12 MESSAGE CARDS WITH ENVELOPES'})
0.017543859649122806,frozenset({'12 PENCIL SMALL TUBE WOODLAND'})
0.0171796272688642,frozenset({'12 PENCILS SMALL TUBE RED RETROSPOT'})
0.017847386632671644,frozenset({'12 PENCILS SMALL TUBE SKULL'})
0.01335518727614885,frozenset({'12 PENCILS TALL TUBE RED RETROSPOT'})
0.013598008862987919,frozenset({'12 PENCILS TALL TUBE SKULLS'})
0.01189825775511443,frozenset({'12 PENCILS TALL TUBE WOODLAND'})
0.01238390092879257,frozenset({'15CM CHRISTMAS GLASS BALL 20 LIGHTS'})
0.03168821708249864,frozenset({'3 DRAWER ANTIQUE WHITE WOOD CABINET'})
0.01481211679718327,frozenset({'3 HEARTS HANGING DECORATION RUSTIC'})
0.02063983488132095,frozenset({'3 HOOK PHOTO SHELF ANTIQUE WHITE'})
0.017422448855703272,frozenset({'3 PIECE SPACEBOY COOKIE CUTTER SET'})
0.011351909184726523,"frozenset({""3 RAFFIA RIBBONS 50'S CHRISTMAS""})"
0.023917926303648394,frozenset({'3 STRIPEY MICE FELTCRAFT'})
0.011473319978146056,frozenset({'3 TRADITIONAL COOKIE CUTTERS  SET'})
0.01584410854124932,frozenset({'36 PENCILS TUBE RED RETROSPOT'})
0.014205062830085595,frozenset({'36 PENCILS TUBE SKULLS'})
0.02136829964183816,frozenset({'4 TRADITIONAL SPINNING TOPS'})
0.01772597583925211,"frozenset({""6 GIFT TAGS 50'S CHRISTMAS""})"
0.017543859649122806,frozenset({'6 GIFT TAGS VINTAGE CHRISTMAS'})
0.012019668548533965,frozenset({'6 RIBBONS EMPIRE'})
0.047775147210587024,frozenset({'6 RIBBONS RUSTIC CHARM'})
0.010502033630789777,frozenset({'6 RIBBONS SHIMMERING PINKS'})
0.010623444424209313,frozenset({'6 ROCKET BALLOONS'})
0.02082195107145025,frozenset({'60 CAKE CASES DOLLY GIRL DESIGN'})
0.030716930735142353,frozenset({'60 CAKE CASES VINTAGE CHRISTMAS'})
0.04206883991986888,frozenset({'60 TEATIME FAIRY CAKE CASES'})
0.031081163115400958,frozenset({'72 SWEETHEART FAIRY CAKE CASES'})
0.011230498391306987,frozenset({'ABC TREASURE BOOK BOX'})
0.0121410793419535,frozenset({'ADVENT CALENDAR GINGHAM SACK'})
0.017847386632671644,frozenset({'AGED GLASS SILVER T-LIGHT HOLDER'})
0.010502033630789777,frozenset({'AIRLINE BAG VINTAGE JET SET RED'})
0.019486432343835368,frozenset({'AIRLINE BAG VINTAGE TOKYO 78'})
0.016147635524798153,"frozenset({'AIRLINE LOUNGE,METAL SIGN'})"
0.021125478054999088,frozenset({'ALARM CLOCK BAKELIKE CHOCOLATE'})
0.04753232562374795,frozenset({'ALARM CLOCK BAKELIKE GREEN'})
0.028774358040429795,frozenset({'ALARM CLOCK BAKELIKE IVORY'})
0.020943361864869788,frozenset({'ALARM CLOCK BAKELIKE ORANGE'})
0.035998300248892126,frozenset({'ALARM CLOCK BAKELIKE PINK'})
